ID,Name,Address
591,Ashlyn Cortes,ashlyn.cortes(a)r-project.org
592,Darien Sutton,"2 Thomas Bayes Road, Edinburgh"
593,Khalid Palmer,khalid.palmer@r-project.org
594,Tj Franks,tj_franks@r-project.org
595,Alexandros Merrill,"5 Colin Maclaurin Road, Edinburhg"
596,Seren Graves,"5 Colin Maclaurin Road, Edinburh"
597,Liyana Bowers,liyana.bowers@r-project.org
598,Matias Melia,"18 Max Born Crescent, Edinburgh"
599,Rhianne Hall,rhianne.hall@r-project.org
600,Lukas Weston,lukas.weston@r-project.org
601,Vickie Iles,"10 James Hutton Road, Edinburgh"
602,Lloyd Fitzgerald,lloyd_fitzgerald[at]r-project.org
603,Bradlee David,"16 David Brewester Road, Edinbrugh"
604,Maverick Reed,maverick.reed@r-project.org
605,Libby Horne,@ the Athens of the North
606,Rowan Ashton,rowan.ashton@r-project.org
607,Mia-Rose Estrada,mia-rose.estrada(a)r-project.org
608,Bobbi Greenwood,
609,Caelan Munoz,
610,Merlin Goulding,
611,Sarina Ochoa,
612,Haleema Hodgson,"Castlehill, Edinburgh EH1 2NG"
613,Lily-Mae Mcintyre,"30 Canongate, Edinburgh EH8 8DX,UK"
614,Alex Jarvis,The moon
615,Tracey Best,tracey.best@r-project.org
616,Kason Long,"4 Thomas Bayes Road, Edinburgh"
617,Tanner Clay,tanner.clay@r-project.org
618,Jaimee Duran,jaimee.duran@r-project.org
619,Jevan Robbins,28 M@x Born Cr3scent
620,Morwenna Rose,morwenna.rose@r-project.org
621,Lexi-Mae Orr,lexi-mae.orr@r-project.org
622,Sam Diaz,sam.diaz@r-project.org
616,Kason Long,"1 Alexander Crum Brown Road, Auld Reekie"
617,Tanner Clay,tanner.clay@r-project.org
605,Libby Horne,Prefer not to say
595,Alexandros Merrill,alexandros.merrill@r-project.org
